University Name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment
Hastings College,Nebraska,NE,Private,Private,4 Year,9700,30050,39750,30050,48600,87100,6,41,67,4,16,33,1045,1212
Haverford College,Pennsylvania,PA,Private,Private,4 Year,16402,54592,70994,54592,59300,112300,4,69,102,0,100,70,849,1194
Hawaii Pacific University,Hawaii,HI,Private,Private,4 Year,14800,25980,40780,25980,52200,93500,24,345,764,128,921,987,2658,5827
Henderson State University,Arkansas,AR,Public,Public,4 Year,7504,8436,15940,10086,42900,79800,7,846,147,0,23,152,2452,3627
Hendrix College,Arkansas,AR,Private,Private,4 Year,12284,45790,58074,45790,48100,90300,22,65,65,1,77,9,1119,1358
High Point University,North Carolina,NC,Private,Private,4 Year,14130,35118,49248,35118,48600,84300,21,246,173,0,61,167,3731,4399
Hofstra University,New York,NY,Private,Private,4 Year,15948,46760,62708,46760,57300,110400,31,909,1254,78,893,198,7590,10953
Holy Cross College,Indiana,IN,Private,Private,4 Year,11500,30820,42320,30820,48100,87800,2,49,56,1,8,18,386,520
Hood College,Maryland,MD,Private,Private,4 Year,12700,39492,52192,39492,47900,82600,1,255,138,0,78,73,1820,2365
Hope College,Michigan,MI,Private,Private,4 Year,10310,34010,44320,34010,49200,90900,3,85,258,0,54,67,2988,3455
Huntingdon College,Alabama,AL,Private,Private,4 Year,9750,27400,37150,27400,42400,78900,14,229,29,2,9,30,847,1160
Husson University,Maine,ME,Private,Private,4 Year,9830,18180,28010,18180,43300,77600,16,147,46,7,73,39,3087,3415
Idaho State University,Idaho,ID,Public,Public,4 Year,7207,7420,14627,22940,50800,91800,141,156,1122,28,179,311,11492,13429
Illinois Institute of Technology,Illinois,IL,Private,Private,4 Year,12762,47296,60058,47296,64600,118500,12,292,600,13,497,72,6412,7898
Illinois State University,Illinois,IL,Public,Public,4 Year,9850,14516,24366,26040,51200,95000,24,1454,1711,18,434,478,16496,20615
Illinois Wesleyan University,Illinois,IL,Private,Private,4 Year,10984,47636,58620,47636,53100,96000,5,87,128,1,82,43,1547,1893
Indiana State University,Indiana,IN,Public,Public,4 Year,10590,9090,19680,19836,47900,85600,36,2199,395,8,179,374,9992,13183
Iowa State University,Iowa,IA,Public,Public,4 Year,8720,8988,17708,23392,56100,101300,80,891,1451,31,940,672,30370,34435
Jackson State University,Mississippi,MS,Public,Public,4 Year,9552,8226,17778,19454,41700,74600,39,8491,38,1,43,96,800,9508
Jacksonville State University,Alabama,AL,Public,Public,4 Year,8100,10425,18525,20145,43800,80000,61,2030,110,7,50,0,6401,8659
Jacksonville University,Florida,FL,Private,Private,4 Year,14080,36670,50750,36670,50100,90400,14,607,277,8,70,113,2996,4085
