university name,American Indian,Black,Hispanic,Pacific Islander,Asian,2+ races,Other,Total Enrollment
Rogers State University,510,94,181,4,49,709,2483,4030
Rollins College,9,197,487,2,95,91,2326,3207
Rose-Hulman Institute of Technology,3,57,68,2,82,90,2086,2388
Rowan University,35,1342,1301,13,814,317,10956,14778
Rust College,0,924,0,0,2,0,37,963
Sacred Heart University,14,361,497,11,174,89,6635,7781
Saginaw Valley State University,32,950,336,4,72,162,8273,9829
Saint Anselm College,3,36,57,2,12,34,1824,1968
Saint Joseph's College of Maine,13,96,63,1,39,0,2721,2933
Saint Louis University,13,1091,567,0,1111,699,13571,17052
Saint Martin's University,9,109,181,38,80,123,1261,1801
Saint Mary's College of California,13,212,918,24,414,221,2310,4112
Saint Michael's College,5,51,98,1,43,43,2377,2618
Saint Peter's University,24,819,950,14,235,57,1203,3302
Saint Xavier University,12,668,920,2,112,71,2288,4073
Salisbury University,34,1091,345,10,216,306,6768,8770
Salve Regina University,12,67,163,2,34,47,2414,2739
Samford University,17,372,218,1,80,50,4195,4933
San Jose State University,44,1029,7407,242,10381,1559,12051,32713
Santa Clara University,10,238,1283,20,1416,461,5587,9015
Savannah College of Art and Design,61,1270,859,27,511,16,8603,11347
Seattle Pacific University,19,152,334,11,430,292,2979,4217
Seattle University,41,215,612,43,1011,457,4894,7273
Seton Hall University,10,1098,1364,30,688,189,6248,9627
Shenandoah University,53,411,182,12,269,0,2766,3693
Shepherd University,26,321,111,3,74,35,3471,4041
Shorter University,8,356,53,2,13,28,1106,1566
Sierra Nevada College,31,41,33,10,19,3,902,1039
Smith College,5,149,276,2,348,128,2081,2989
South Carolina State University,4,3128,18,1,22,1,157,3331
South Dakota School of Mines and Technology,50,50,110,5,44,96,2443,2798
South Dakota State University,127,255,241,13,140,229,11538,12543
Southeast Missouri State University,55,1022,189,4,118,13,10686,12087
Southeastern Louisiana University,35,2148,893,14,128,757,10512,14487
Southeastern Oklahoma State University,698,208,154,7,37,522,2252,3878
Southern Adventist University,13,380,604,19,228,105,1826,3175
Southern Connecticut State University,19,1539,1114,2,271,230,7650,10825
Southern Methodist University,31,669,1172,15,671,291,8423,11272
Southern Nazarene University,93,318,134,8,55,70,1576,2254
Southern New Hampshire University,152,2373,1009,33,337,60,39310,43274
Southern Oregon University,71,116,477,26,124,274,4866,5954
Southern University at New Orleans,3,1771,13,0,10,0,306,2103
Southern Vermont College,4,59,43,1,3,7,340,457
Southern Wesleyan University,5,483,56,1,10,26,1197,1778
Southwestern Oklahoma State University,210,261,350,6,145,363,3659,4994
Spalding University,3,425,66,5,32,57,1723,2311
Spelman College,3,1855,7,0,2,58,210,2135
Spring Hill College,10,210,77,1,16,45,1017,1376
St. Mary's University,23,142,2060,10,95,8,1374,3712
Stanford University,98,633,1749,30,2630,1142,10681,16963
Stephens College,3,117,31,4,12,48,647,862
Stetson University,16,288,564,1,94,124,3050,4137
Stevens Institute of Technology,5,96,321,0,436,0,5267,6125
Stevenson University,5,1267,194,8,133,114,2601,4322
Stockton University,10,532,848,12,439,239,6490,8570
Stonehill College,1,99,103,1,51,41,1988,2284
Swarthmore College,2,90,206,1,252,120,871,1542
Tabor College,3,64,83,2,5,25,584,766
Taylor University,6,55,63,7,63,15,1937,2146
Tennessee State University,14,5750,112,0,91,276,2784,9027
Tennessee Technological University,17,416,252,4,147,250,10253,11339
Texas Christian University,81,479,1060,29,277,55,8052,10033
Texas Tech University,113,2011,7075,39,850,1053,24017,35158
Thomas More College,2,109,23,1,12,32,1476,1655
Thomas More College of Liberal Arts,0,1,2,0,2,0,88,93
Tougaloo College,1,887,4,0,0,0,8,900
Towson University,33,3456,1196,26,1049,813,15712,22285
Transylvania University,1,31,46,1,20,30,885,1014
Trevecca Nazarene University,9,372,71,3,27,73,2051,2606
Trine University,12,86,148,4,48,74,2459,2831
Trinity University,7,99,454,1,142,108,1621,2432
Troy University,143,6840,666,19,140,486,10747,19041
Truman State University,8,218,173,6,115,157,5571,6248
Tufts University,12,368,594,4,1353,409,8167,10907
Tuskegee University,2,2345,32,0,26,0,698,3103
University of Alabama at Birmingham,46,3943,496,14,931,563,12705,18698
University of Arizona,517,1402,9405,95,2392,1608,26817,42236
University of Arkansas at Little Rock,44,2625,713,0,260,823,7180,11645
University of Arkansas at Monticello,17,1051,130,5,23,72,2556,3854
University of Arkansas at Pine Bluff,3,2295,40,0,15,2,158,2513
University of Bridgeport,27,1315,591,11,170,91,2986,5191
University of Central Arkansas,55,2011,452,11,185,352,8632,11698
University of Central Florida,120,6400,13108,129,3343,1841,35826,60767
University of Central Missouri,26,886,322,10,124,266,11745,13379
University of Central Oklahoma,638,1552,1257,28,510,1257,11598,16840
University of Charleston,19,209,54,2,57,21,1749,2111
University of Chicago,35,634,928,6,1923,336,11235,15097
University of Connecticut,41,1353,1928,16,2320,597,20286,26541
University of Dallas,8,207,386,4,175,68,1700,2548
University of Dayton,9,417,310,3,156,126,10322,11343
University of Delaware,17,1232,1461,21,1018,576,18355,22680
University of Denver,52,406,1023,14,390,328,9596,11809
University of Detroit Mercy,17,504,133,11,242,117,3921,4945
University of Dubuque,11,226,142,4,41,60,1637,2121
University of Evansville,4,72,71,0,38,49,2333,2567
University of Florida,137,3151,8127,240,3501,1108,33195,49459
University of Georgia,37,2805,1637,37,2859,1052,26770,35197
University of Hartford,16,865,612,5,232,146,4941,6817
University of Hawaii at Hilo,20,46,457,391,806,1129,1075,3924
University of Houston,47,4173,10994,97,8118,1218,16267,40914
University of Idaho,113,142,925,22,161,376,9963,11702
University of Illinois at Chicago,29,2194,5435,63,5229,618,14401,27969
University of Illinois at Urbana-Champaign,39,2186,3384,47,6121,1049,32314,45140
University of Indianapolis,8,456,191,8,85,127,4567,5442
University of Iowa,50,853,1730,26,1056,630,25625,29970
University of Jamestown,15,40,48,3,11,0,853,970
University of Kansas,142,1133,1554,22,1081,1096,22152,27180
University of Kentucky,55,1989,1031,26,807,770,24525,29203
University of Louisiana at Lafayette,80,3377,547,15,373,277,12526,17195
University of Louisiana at Monroe,29,1936,176,4,197,176,5999,8517
University of Louisville,34,2247,813,14,749,784,16920,21561
University of Maine,133,212,241,2,144,261,10293,11286
University of Maine at Farmington,13,35,26,2,14,40,1830,1960
University of Maine at Fort Kent,10,34,19,2,6,25,1231,1327
University of Maine at Machias,22,26,24,0,5,10,723,810
University of Maine at Presque Isle,28,12,13,0,4,28,1053,1138
University of Mary,49,77,84,5,32,43,2519,2809
University of Memphis,53,7135,757,26,625,630,11833,21059
University of Miami,23,1169,3526,22,953,408,10573,16674
University of Mississippi,64,3178,610,23,429,471,17728,22503
University of Mobile,26,380,23,0,10,34,1127,1600
University of Montevallo,18,434,93,0,19,68,2438,3070
University of Mount Union,4,122,41,0,15,85,1995,2262
University of New England,27,387,82,15,301,96,5521,6429
University of New Haven,22,602,578,12,169,92,5336,6811
University of New Orleans,33,1375,840,3,656,289,6038,9234
University of North Alabama,62,869,168,5,131,148,5458,6841
University of North Carolina at Chapel Hill,133,2304,1895,70,2410,1326,20997,29135
University of North Carolina at Charlotte,81,4410,2000,30,1343,856,18518,27238
University of North Carolina School of the Arts,5,72,68,2,12,44,755,958
University of North Dakota,253,344,420,15,207,404,13263,14906
University of North Florida,20,1553,1481,12,674,779,11465,15984
University of North Georgia,35,684,1435,17,437,417,13039,16064
