university_name,state,state_abbv,type,degree_length,room_and_board,In-State Tuition,in_state_total,Out-of-State Tuition,out_of_state_total,Early Career Pay,Mid Career Pay,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,total enrollment,,american indian / alaska native,black,hispanic,native hawaiian / pacific islander,asian,two or more races,other,,state_code,avg_tuition_oos,avg_tuition_is,avg_early_pay,avg_mid_pay
College of Charleston,South Carolina,SC,Public,Public,4 Year,12166,12738,24904,31920,47300,85100,21,823,478,13,181,401,9539,11456,,0.18%,7.18%,4.17%,0.11%,1.58%,3.50%,83.27%,,,,,,
College of Saint Mary,Nebraska,NE,Private,Private,4 Year,7700,20350,28050,20350,43900,77700,5,63,102,1,17,25,805,1018,,0.49%,6.19%,10.02%,0.10%,1.67%,2.46%,79.08%,,,,,,
College of the Holy Cross,Massachusetts,MA,Private,Private,4 Year,14520,52770,67290,52770,61800,114600,5,110,296,1,141,98,2136,2787,,0.18%,3.95%,10.62%,0.04%,5.06%,3.52%,76.64%,,,,,,
Colorado Christian University,Colorado,CO,Private,Private,4 Year,11846,31866,43712,31866,46800,80100,36,391,623,16,157,227,4337,5787,,0.62%,6.76%,10.77%,0.28%,2.71%,3.92%,74.94%,,,,,,
Colorado College,Colorado,CO,Private,Private,4 Year,12512,55470,67982,55470,53100,97900,9,48,184,0,94,173,1559,2067,,0.44%,2.32%,8.90%,0.00%,4.55%,8.37%,75.42%,,,,,,
Colorado Mesa University,Colorado,CO,Public,Public,4 Year,10925,9243,20168,22440,47800,81500,68,218,1389,55,126,313,6947,9116,,0.75%,2.39%,15.24%,0.60%,1.38%,3.43%,76.21%,,,,,,
Colorado School of Mines,Colorado,CO,Public,Public,4 Year,13169,18964,32133,38584,75600,139600,13,52,417,3,231,244,5002,5962,,0.22%,0.87%,6.99%,0.05%,3.87%,4.09%,83.90%,,,,,,
Columbia International University,South Carolina,SC,Private,Private,4 Year,8150,23690,31840,23690,36600,66200,3,198,28,0,34,20,820,1103,,0.27%,17.95%,2.54%,0.00%,3.08%,1.81%,74.34%,,,,,,
Columbus State University,Georgia,GA,Public,Public,4 Year,9880,7200,17080,20682,43300,77900,35,2921,430,20,176,182,4428,8192,,0.43%,35.66%,5.25%,0.24%,2.15%,2.22%,54.05%,,,,,,
Connecticut College,Connecticut,CT,Private,Private,4 Year,15150,54820,69970,54820,57500,100800,0,62,163,0,67,52,1556,1900,,0.00%,3.26%,8.58%,0.00%,3.53%,2.74%,81.89%,,,,,,
Converse College,South Carolina,SC,Private,Private,4 Year,10930,18690,29620,18690,39000,71000,0,100,56,0,4,38,1191,1389,,0.00%,7.20%,4.03%,0.00%,0.29%,2.74%,85.75%,,,,,,
Corban University,Oregon,OR,Private,Private,4 Year,10228,33040,43268,33040,42500,77300,10,18,34,7,24,72,960,1125,,0.89%,1.60%,3.02%,0.62%,2.13%,6.40%,85.33%,,,,,,
Cornell College,Iowa,IA,Private,Private,4 Year,9384,42299,51683,42299,49600,90600,4,55,140,3,26,46,812,1086,,0.37%,5.06%,12.89%,0.28%,2.39%,4.24%,74.77%,,,,,,
Cornell University,New York,NY,Private,Private,4 Year,14816,55188,70004,55188,70100,128200,64,1059,1994,15,3129,762,14656,21679,,0.30%,4.88%,9.20%,0.07%,14.43%,3.51%,67.60%,,,,,,
Cornish College of the Arts,Washington,WA,Private,Private,4 Year,12400,41642,54042,41642,49000,86400,6,29,76,2,43,63,548,767,,0.78%,3.78%,9.91%,0.26%,5.61%,8.21%,71.45%,,,,,,
Covenant College,Georgia,GA,Private,Private,4 Year,10260,34330,44590,34330,44400,79400,4,32,34,2,22,23,1056,1173,,0.34%,2.73%,2.90%,0.17%,1.88%,1.96%,90.03%,,,,,,
Creighton University,Nebraska,NE,Private,Private,4 Year,11036,39916,50952,39916,53500,95800,36,330,472,25,742,259,6372,8236,,0.44%,4.01%,5.73%,0.30%,9.01%,3.14%,77.37%,,,,,,
Cumberland University,Tennessee,TN,Private,Private,4 Year,9290,22890,32180,22890,45500,81000,5,181,37,0,14,0,1244,1481,,0.34%,12.22%,2.50%,0.00%,0.95%,0.00%,84.00%,,,,,,
Dakota State University,South Dakota,SD,Public,Public,4 Year,6873,9276,16149,12249,48400,84300,25,144,115,6,61,75,2621,3047,,0.82%,4.73%,3.77%,0.20%,2.00%,2.46%,86.02%,,,,,,
Dakota Wesleyan University,South Dakota,SD,Private,Private,4 Year,7350,27300,34650,27300,41800,75700,9,15,23,0,2,18,803,870,,1.03%,1.72%,2.64%,0.00%,0.23%,2.07%,92.30%,,,,,,
